objname,RAJ2000,DECJ2000,z_phot_DE,z_spec_DE,z_spec_SRC,r_mag_DE,g_mag_SRC,catalogue,catalogue_objname,catalogue_objid,duplicated,duplicated_objname,,,link to AGEL Measured Redshifts,link to Spectral Observations Tally,z_spec_SRC_Spectral_Observations_Tally,link to SDSS Spectra,z_spec from SDSS (deflector),Photometry Observations Tally,Proposal_ID (from Photometry Observations Tally),AGEL Measured Redshifts,Start date,End date,2d/1d spectra,Last Modified By,Last Modified
AGEL144149+144121A,220.4549,14.6891,,0.741,1.433,20.53,,Huang+2021,DESI-220.4549+14.6891,0,CASSOWARY,"CSWA20
",,,,,,,,AGEL144149+144121A,HUANG_15867_HST,,,,,Tania Barone,23/3/2022 11:33am
AGEL022358-065143A,35.9914,-6.8619,0.51,0.473,1.43,,,Gavazzi2014_SL2S,022357-065142,0,,,,,,,,AGEL022358-065143A,0.4734468,,,,,,,Tania Barone,25/1/2022 6:39pm
AGEL141137+565119A,212.9043,56.8553,0.42,0.322,1.42,,,Gavazzi2014_SL2S,141137+565119,0,,,,,,,,,,,,,,,,Tania Barone,29/10/2021 6:22pm
AGEL142003+523138A,215.0142,52.5272,0.51,0.39,1.41,,,Gavazzi2014_SL2S,142003+523137,0,,,,,,,,,,,,,,,,Tania Barone,29/10/2021 6:23pm
AGEL211627-594702A,319.11382,-59.78382,0.48,0.395,1.41,19.25,20.78,Jacobs+2019_DES,DESJ2116-5947,193746022,,,,,AGEL211627-594702A,    AGEL211627-594702A,1.411,,,AGEL211627-594702A,GLAZEBROOK_16773_HST,,,,,Nandini Sahu,16/11/2022 12:49pm
AGEL222218+001203A,335.5735,0.2008,0.42,0.436,1.36,,,Gavazzi2014_SL2S,222217+001202,0,,,,,,,,,,,,,,,,Tania Barone,29/10/2021 6:34pm
AGEL020525-093023A,31.3527,-9.5065,0.7,0.557,1.335,,,Gavazzi2014_SL2S,020524-093023,0,,,,,,,,AGEL020525-093023A,0.5576347,,,,,,,Tania Barone,25/1/2022 6:39pm
AGEL022611-042012A,36.5444,-4.3366,0.54,0.494,1.23,,,Gavazzi2014_SL2S,022610-042011,0,,,,,,,,AGEL022611-042012A,0.495035,,,,,,,Tania Barone,25/1/2022 6:39pm
AGEL022511-045433A,36.296,-4.9093,0.25,0.238,1.2,,,Gavazzi2014_SL2S,022511-045433,0,,,,,,,,AGEL022511-045433A,0.2378922,,,,,,,Tania Barone,25/1/2022 6:39pm
AGEL090106-025907A,135.2752,-2.9852,0.84,0.67,1.19,,,Gavazzi2014_SL2S,090106-025906,0,,,,,,,,,,,,,,,,Tania Barone,29/10/2021 6:09pm
AGEL042439-331742A,66.161186,-33.294911,0.62,0.566,1.18,19.89,21.09,Jacobs+2019_DES,DESJ0424-3317,498603518,,,,,AGEL042439-331742A,    AGEL042439-331742A,1.188,,,AGEL042439-331742A,GLAZEBROOK_16773_HST,,,,,Tania Barone,16/6/2022 9:59am
AGEL010128-334319A,15.366041,-33.72201,0.63,0.583,1.17,20.91,21.99,Jacobs+2019_DES,DESJ0101-3343,290880302,,,,,AGEL010128-334319A,    AGEL010128-334319A,1.166,,,,,,,,,Tania Barone,13/1/2022 5:29pm
AGEL222013+010606A,335.0536,1.1018,0.24,0.232,1.07,,,Gavazzi2014_SL2S,222012+010606,0,,,,,,,,,,,,,,,,Tania Barone,29/10/2021 6:34pm
AGEL221929-001743A,334.8725,-0.2954,0.3,0.289,1.02,,,Gavazzi2014_SL2S,221929-001743,0,,,,,,,,,,,,,,,,Tania Barone,29/10/2021 6:34pm
AGEL142032+525822A,215.1325,52.9728,0.46,0.38,0.99,,,Gavazzi2014_SL2S,142031+525822,0,,,,,,,,,,,,,,,,Tania Barone,29/10/2021 6:23pm
AGEL085938-010213A,134.9088,-1.037,0.6,0.52,0.51,,,Gavazzi2014_SL2S,085938-010213,0,,,,,,,,,,,,,,,,Tania Barone,29/10/2021 6:09pm
AGEL085504-023607A,133.7648,-2.602,0.68,0.622,0.351,,,Gavazzi2014_SL2S,085503-023607,0,,,,,,,,,,,,,,,,Tania Barone,29/10/2021 6:09pm
AGEL023402-051951A,38.5098,-5.3307,0.47,0.45,0.33,,,Gavazzi2014_SL2S,023402-051950,0,,,,,,,,,,,,,,,,Tania Barone,29/10/2021 5:46pm
AGEL142424+251432A,216.1003,25.2423,,0.233,,19.06,,Huang+2020,DESI-216.1003+25.2423,0,,,,,,,,AGEL142424+251432A,0.2325382,,,,,,,Tania Barone,25/1/2022 6:39pm
AGEL022409-162313A,36.0382,-16.3869,,0.472,,22.15,,Huang+2021,DESI-036.0382-16.3869,0,,,,,,,,,,,,,,,,Tania Barone,29/10/2021 5:43pm
AGEL100206+151830A,150.5233,15.3083,,0.549,,19.4,,Huang+2021,DESI-150.5233+15.3083,0,,,,,,,,,,,,,,,,Tania Barone,29/10/2021 6:12pm
AGEL031447-134436A,48.694,-13.7434,,0.623,,20.75,,Huang+2021,DESI-048.6940-13.7434,0,,,,,,,,,,,,,,,,Tania Barone,29/10/2021 5:50pm
AGEL103245+084040A,158.1868,8.6779,,0.693,,20.76,,Huang+2021,DESI-158.1868+08.6779,0,,,,,,,,,,,,,,,,Tania Barone,29/10/2021 6:13pm
AGEL094036+130808A,145.1485,13.1356,,0.47,,20.22,,Huang+2021,DESI-145.1485+13.1356,0,,,,,,,,,,,,,,,,Tania Barone,29/10/2021 6:11pm
AGEL073028+382224A,112.6173,38.3732,,0.526,,19.16,,Huang+2021,DESI-112.6173+38.3732,0,,,,,,,,,,,,,,,,Tania Barone,29/10/2021 6:06pm
AGEL115755+225441A,179.4811,22.9115,,0.781,,20.21,,Huang+2021,DESI-179.4811+22.9115,0,,,,,,,,AGEL115755+225441A,0.1663967,,,,,,,Tania Barone,25/1/2022 6:39pm
AGEL104428+311401A,161.1159,31.2337,,0.529,,20.98,,Huang+2021,DESI-161.1159+31.2337,0,,,,,,,,AGEL104428+311401A,0.7052491,,,,,,,Tania Barone,25/1/2022 6:39pm
AGEL092137+021409A,140.404,2.23583,,0.319,,20.09,,Canameras2020,PS1J0921+0214,0,,,,,,,,,,,,,,,,Tania Barone,29/10/2021 6:10pm
AGEL104724-031242A,161.8519,-3.2118,,0.34,,20.76,,Huang+2021,DESI-161.8519-03.2118,0,,,,,,,,AGEL104724-031242A,0.3712251,,,,,,,Tania Barone,25/1/2022 6:39pm
AGEL142210+020909A,215.542,2.1525,,0.466,,20.43,,Canameras2020,PS1J1422+0209,0,,,,,,,,,,,,,,,,Tania Barone,29/10/2021 6:23pm
AGEL003841-072450A,9.6721,-7.4138,,0.28,,18.54,,Huang+2021,DESI-009.6721-07.4138,0,,,,,,,,AGEL003841-072450A,0.3150159,,,,,,,Tania Barone,25/1/2022 6:39pm
AGEL120535+411044A,181.3975,41.179,,0.476,,20.03,,Huang+2021,DESI-181.3975+41.1790,0,,,,,,AGEL120535+411044A,2.65,AGEL120535+411044A,0.6604609,AGEL120535+411044A,HUANG_15867_HST,,,,,Tania Barone,4/2/2022 3:18pm
AGEL134648+284155A,206.7,28.6985,,0.441,,19.94,,Huang+2021,DESI-206.7000+28.6985,0,,,,,,,,,,,,,,,,Tania Barone,29/10/2021 6:21pm
AGEL155220+613934A,238.0854,61.6594,,0.461,,19.13,,Huang+2021,DESI-238.0854+61.6594,0,,,,,,,,,,,,,,,,Tania Barone,29/10/2021 6:26pm
AGEL235953+032350A,359.969,3.3971,,0.275,,20.27,,Huang+2021,DESI-359.9690+03.3971,0,,,,,,,,,,,,,,,,Tania Barone,29/10/2021 6:40pm
AGEL120912+270417A,182.3,27.0714,,0.443,,20.2,,Canameras2020,PS1J1209+2704,0,,,,,,,,,,,,,,,,Tania Barone,29/10/2021 6:17pm
AGEL172412+314635A,261.05,31.7764,,0.21,,18.72,,Canameras2020,PS1J1724+3146,0,,,,,,,,AGEL172412+314635A,0.2097424,,,,,,,Tania Barone,25/1/2022 6:39pm
AGEL104041+185052A,160.1716,18.8477,0.36,,,17.54,,Huang+2021,DESI-160.1716+18.8477,0,,,,,AGEL104041+185052A,AGEL104041+185052A,0.878,AGEL104041+185052A,0.3135489,,,,,,Screenshot from 2022-05-10 20-58-36.png (https://dl.airtable.com/.attachments/58fd472939069a24df80a21852187ccb/abcbad34/Screenshotfrom2022-05-1020-58-36.png),Tania Barone,25/1/2022 6:39pm
AGEL084207+271542A,130.5312,27.2618,,0.418,,19.36,,Huang+2021,DESI-130.5312+27.2618,0,,,,,,,,,,,,,,,,Tania Barone,29/10/2021 6:08pm
AGEL174912+233036A,267.2985,23.5101,,0.557,,17.95,,Huang+2021,DESI-267.2985+23.5101,0,Canameras2020,PS1J1749+2330,,,,,,,,,,,,,,Tania Barone,29/10/2021 6:28pm
AGEL211243+000921A,318.17974,0.15577,0.59,,,19.87,22.01,Jacobs+2019_DES,DESJ2112+0009,188723770,Jacobs+2019_DECaLS,DCLS2112+0009,,,,AGEL211243+000921A,2.359,AGEL211243+000921A,0.4451601,AGEL211243+000921A,GLAZEBROOK_16773_HST,,,,,Tania Barone,23/9/2022 2:41pm
AGEL021714-100549A,34.3096,-10.0969,,0.609,,20.68,,Huang+2021,DESI-034.3096-10.0969,0,,,,,,,,,,,,,,,,Tania Barone,29/10/2021 5:42pm
AGEL024553-055800A,41.4712,-5.9667,,0.573,,20.84,,Huang+2021,DESI-041.4712-05.9667,0,,,,,,,,AGEL024553-055800A,0.7959273,,,,,,,Tania Barone,25/1/2022 6:39pm
AGEL085917+061517A,134.8206521,6.25485527,,,,20.53,22.01,Jacobs+2019_DECaLS,DCLS0859+0615,9233142,,,,,,AGEL085917+061517A,2.658,,,,,,,,,Nandini Sahu,20/1/2023 11:38am
AGEL103254+395103A,158.226,39.8507,,0.408,,18.61,,Huang+2021,DESI-158.2260+39.8507,0,,,,,,,,AGEL103254+395103A,0.4175957,,,,,,,Tania Barone,25/1/2022 6:39pm
AGEL010726+031249A,16.8597,3.2136,,0.325,,16.25,,Huang+2020,DESI-016.8597+03.2136,0,,,,,,,,AGEL010726+031249A,0.3245379,,,,,,,Tania Barone,25/1/2022 6:39pm
